A1.1	This is Los Angeles.
A3.18	She takes out more bottles of wine from the cupboard.
A3.19	People pat her on her back: "You must be so proud of him Clara."
A3.20	She doesn't care anymore how much wine she'll serve...
A3.21	At least one bottle per person these days. 
B3.1	Inside the cab, Margaret holds onto her violin case.
B3.2	"All the way down Columbus, OK?"
B3.3	She gives the instructions in a pleasant stiff voice and pulls out her cell.
B3.4	She cancels her violin lesson.
B3.5	The cab driver's eyes keep checking her out.
B3.6	She pauses, hits voice mail.
B3.7	Alexander's accent purrs in her ear. 
B3.8	He's waiting for her.
B3.9	"So what's eating you princess?" asks the cabdriver.
B3.10	He's Sikh. His turban blocks her view of the asphalt... 
B3.11	"Whatever it is, tell your husband.
B3.12	Don't keep the stuff in.
B3.13	That's what gives people cancer."
B3.14	Alexander's name vibrates on her phone.
B3.15	Margaret texts him instead:  I'm running a few minutes late.
B3.16	The eyes of the cabdriver are still there in the mirror  "Do you have children princess?"
B3.17	She shakes her head no, without thinking.
B3.18	And then she's terrified by what she's done.
B3.19	Denying Sasha's existence.
B3.20	But it's too late to undo it.
B3.21	You look like someone who should," says the cabdriver and is quiet the rest of the way.
B3.22	She pays with a twenty, as they pull by the fountain, and hates herself, because -- as if to prove him right -- she overtips.
A4.1	"No art residencies for us," Jeannie laughs and nods at the gurgling boy on her lap. 
A4.2	Tommy struts in, dangling his scotch by his crotch. 
A4.3	He holds a cracker, piled with over-ripe brie and jelly, shoves it in his wife's mouth.
A4.5	She thankfully chews, like a chipmunk.
A4.6	His black faded t-shirt walks towards the kitchen.
A4.7	"I'm an existentialist-fatalist," it boasts.
A4.8	Then he ducks.
A4.9	The "Congratulations!" sign still hits him on the back.
A4.10	"One more Tommy, please!"
A4.11	She's never losing the baby weight that way, Clara thinks.
A4.12	But who the fuck cares... she's young...  
A4.13	Clara looks at the baby who's drooling over his hands and walks out of the room.
A4.14	"How could you do this to me?" Clara hisses at Gary.
A4.15	"When did you find out about New York?  When did you even apply?"
A4.16	Anger and humiliation are drowning her breath.
A4.17	And probably a touch too much wine.
A4.18	But Gary is giddy and thrilled and sees nothing wrong with their lives.
A4.19	"Baby -- be proud," he laughs.
A4.20	"It's just for a year, we'll work it out..."
A4.21	And what is so sad -- he really believes this...
B4.1	Alexander and Margaret walk down Broadway.
B4.2	Margaret feels beautiful.
B4.3	"I quit my Wall Street job three months ago.
B4.4	I'm taking violin lessons. For fun," she adds.
B4.5	Alexander doesn't respond.
B4.6	"And Steven took early retirement.
B4.7	He did very well with investments." 
B4.8	She can hear the pride in her voice and she stops. 
B4.9	Praising your private life to a lover, even a former lover, feels wrong.
B4.10	But she's doing it.
B4.11	"Steven's a therapist now."  
B4.12	Alexander laughs. "An ex-banker who listens to people's pain for a hobby.
B4.13	I thought you wanted a kid.  Isn't that why you married?"
B4.14	She's quiet for a second.
B4.15	"Sasha's been... a bit of a handful..." 
B4.16	When she says it -- it feels lame. 
B4.17	"She took a year off, did some great journalism in West Africa, but after she came back..."
B4.18	Alexander stops in front of a storefront. He's not paying attention.  
B4.19	Margaret braces herself:  "Why did you call me?" she asks.
B4.20	He turns, smiles at her.
B4.21	She's scared to say more.
B4.22	And somehow she's also excited.
B4.23	Margaret's phone vibrates in her purse.
B4.24	She knows it's Steven and she doesn't look.
A5.1	"I don't want to go back to New York," Clara says quietly.
A5.2	The dishes from last night are still in the sink.
A5.3	Gary has a meeting with his advisors to discuss the internship.
A5.4	Of course he's late.
A5.5	And now the dishes won't be done until this evening... 
A5.6	Crusted chili.  Soap, bubbles.  Scrub!
A5.7	She's shopped and cooked and served and now dishes, again.
A5.8	"I'll do them later, Clara, don't fuss," Gary says as he flips over tupperware, newspapers -- looking.
A5.9	"You've seen my wallet?"
A5.10	"How long is this internship Gary?"
A5.11	" September to June."
A5.12	"Without getting paid?
A5.13	I can't afford to float this whole place by myself."
A5.14	Gary heads to the door: "I'm sure you can be a journalist in New York, too" 
A5.15	But she just signed her contract here and he knows it.
A5.16	"We should have talked this move through, before you applied..."
A5.17	He laughs.  "You would have talked me out of it."
A5.18	For a moment he looks like a boy, getting caught and standing up in defiance. Almost charming. 
A5.19	But he is 35.
A5.20	"What's good for me Clara, is also good for us." 
A5.21	That certainly used to be true.  Is it now? 
B5.1	Alexander pays for their hotdogs with crumpled-up dollar bills he pulls out of his pocket.   
B5.2	"New York is the best.  I'm so glad to be back."
B5.3	The last eight years have been good to him.
B5.4	He still has a cat in his step.
B5.5	My new apartment looks great, Maggie," he says.
B5.6	"You'll see – I bet you'll want to move in..."
B5.7	Is this a come-on line?
B5.8	She catches a glimpse of herself in a window and is suddenly aware she should have colored her hair.
B5.9	"New York is very glad you're back..." she says. 
B5.10	The hot dog mustard drips on her blouse.  
B5.11	Alexander clears it, licks his finger and smiles. 
B5.12	His eyes land on hers as she waits for his words.
B5.13	"I need you to connect me with your former colleagues on Wall Street," he says.
B5.14	"We're working on a major piece on international corruption.
B5.15	It's Pulitzer-worthy." 
B5.16	Margaret is so aware of her aging neck. 
B5.17	That's why he called:  a little networking opportunity. 
B5.18	That's what this meeting is... She touches her neck. 
B5.19	She wants to protect herself.
B5.20	She wants to hide.
B5.21	Alexander hands Margaret his card.
B5.22	"Have Sasha call me," he says.
B5.23	"I'm looking for interns and she sounds like a catch."
A6.1	"Here is your lunch..." Leftovers in blue tupperware.
A6.2	"We're postponing our lives, Gary.
A6.3	What about getting a job?" 
A6.4	Between looking for keys and slipping on flip-flops, Gary sets the tupperware on the mail table and forgets it.
A6.5	She doesn't remind him.
A6.6	The door closes, she stares at it.
A6.7	Next to the tupperware, she sees the envelope from American Express.
A6.8	Gary's business account.
A6.9	She takes his lunch and tosses it in the trash.
A6.10	Whole tupperware.
A6.11	Then picks it out.  Opens it.  Tries it.  Cold chili.
A6.12	Her eyes find his wallet.  Right by the couch.
A6.13	400 dollars for scotch.
A6.14	She shoves chili in her mouth without stopping.
A6.15	Is New York worth the fight?
A6.16	Every bit of bean.  Every bit of rice.
A6.17	It's all comfort now, and then -- it's all guilt.
A6.18	Across town, Gary sits in his art studio.
A6.19	Drying photo prints.  Moldy coffee-cups.
A6.20	He knows it's in him, the "it," the "something," the "drive."
A6.21	He sits paralyzed under the light.
A6.22	He's losing her.
A6.23	He is losing his wife.
A6.24	He looks at his phone.
A6.25	He should call Clara.
A6.26	But he doesn't.
B6.1	Margaret re-enters the apartment in a horrible mood.
B6.2	She can hear loud yelling from the back.
B6.3	Steven yells at a man.
B6.4	At 10 o'clock at night?  What the hell?
B6.5	The Super is fighting with Steven.  There's a horrible leak.
B6.6	The ceiling in Sasha's room has caved in. 
B6.7	The Super is yelling, no one told him about the damn leak. 
B6.8	Steven's upset there might be asbestos.
B6.9	Sasha seems weirdly amused.   
B6.10	Margaret walks away from this mess, and into the living room, pours herself a large glass of red wine.
B6.11	Sasha walks in with a mop.
B6.12	Margaret turns, glass in hand.  "How could you not notice a huge leak -- right over your head!?" 
B6.13	Sasha just shrugs.  "It's not my fault the building is old..."
B6.14	"I'm serious Sasha.   How can you be so checked out?"
B6.15	Sasha's voice is annoyingly calm:  "I don't want to pick a fight with you Margaret.
B6.16	You want to get drunk?  Just get drunk."
B6.17	Her stepdaughter looks at her with cold eyes: 
B6.18	"Where the hell have you been? You've got mustard stains all over your blouse.
B6.19	We were trying to reach you." 
A7.1	When the phone rings, Clara's throwing up.
A7.2	She catches her breath.  
A7.3	Makes sure to clean everything well, (underneath the toilet seat too, always check that) before she calls back.
A7.4	It's her mom.
A7.5	"You want me to send you some money?"
A7.6	"No mama, we're good." 
A7.7	"Gary got a job yet?
A7.8	He should have stayed designing those greeting cards. He was good at that.
A7.9	I still find them at Wal-Mart."
A7.10	The way her mom says that, it could be ultimate praise, or ultimate scorn...  
A7.11	That reminds Clara, she has a card to send.
A7.12	It's August 18th.
A7.13	She still remembers the address by heart... 
A7.14	"Ready for work?"
A7.15	"Almost mama."
A7.16	"You hold onto that job.  A staff job is not easy to get. 
A7.17	I'm really proud of you baby.
A7.18	You still want the name of that lawyer?
A7.19	Mr. Zimmler's the best.  He won't overcharge."
A7.20	Clara closes her eyes.
A7.21	That was one conversation in thousands.  But her mom won't forget. 
A7.22	"I'm not ready to throw away the last ten years of my life."
A7.23	The moment she snaps, she regrets it. 
A7.24	"Gary and I are sticking it out." 
B7.1	Steven can hear their agitated voices full of anger.
B7.2	He tries his best at brokering peace.
B7.3	"Can I get you guys water?" he calls to the back. 
B7.4	He stands in his pajamas by the light of the open fridge.
B7.5	He can hear Margaret's voice rising high:  "Sasha, if you're in trouble you have to tell us..."
B7.6	Sasha storms in "Get your wife off my back..."
B7.7	"I'll handle it, Maggie..." 
B7.8	"There's nothing to handle here, dad. She's just fixating on me.
B7.9	My boyfriend just ditched.  I'm upset. I'm simply upset.
B7.10	What's wrong with being upset? You're the therapist, no?  
B7.11	You tell me, is there something wrong if I am upset?" 
B7.12	She's yelling now. 
B7.13	Margaret stands by the door.
B7.14	"Upset is one thing," she says, "stealing pills is another..."
B7.15	"I didn't steal your damn sleeping pills. 
B7.16	I am NOT my mother, OK? 
B7.17	I don't want to die! 
B7.18	Do you want me to sign a statement or something? I am not my mother, I'm not..."
B7.19	Steven moves to hug Sasha. 
B7.20	Margaret steps back and exits the room.
B7.21	She wants to go far away.
B7.22	She takes her violin case puts it inside the closet and then she mops the floor.
A8.1	"Next time you blink, Clara you'll be throwing away the last 20 and then the last 25 years of your life."
A8.2	Her mom's voice is flat steel.
A8.3	"I love you mama," says Clara.
A8.4	When her father died, Gary sat next to her mother for days, holding her hand. 
A8.5	He's better at grieving.
A8.6	Ten years together.
A8.7	"The lawyer's name is John Zimmler.  He's a great divorce lawyer.
A8.8	I'll send you the number," says her mother before she hangs up...
A8.9	In Clara's closet there's a huge stack of Gary's greeting cards.  Meticulously drawn.
A8.10	Worlds within worlds, creatures of the woods and of the seas -- flying, flying.
A8.11	She chooses one in shades of purple and green.
A8.12	She writes: "HAPPY 21st BIRTHDAY sweetie"
A8.13	-- Oh God... She tears up the card.
A8.14	Picks up another:  "HAPPY 21st BIRTHDAY!"
A8.15	She replaces "sweetie" with a number of exclamation marks.
A8.16	xos too.  Neutral, yet warm.  More xo's.
A8.17	She doesn't know what else to say...
A8.18	Never expects a response.
A8.19	But today she adds one more line: "Let me know how you are..."
A8.20	She regrets it. 
B8.1	Steven comes home for lunch carrying a bunch of colorful foam tubes.
B8.2	He uses them to help patients move through aggression.
B8.3	"We'll have a family session, it will help us all loosen up..." Margaret rolls her eyes.
B8.4	There are more pressing issues than foam fights. 
B8.5	The ceiling leak in Sasha's room has spread.
B8.6	The room is a wreck, covered in tarps.
B8.7	Margaret sets up for Sasha to sleep in the living room.
B8.8	She opens the pull-out couch, uses 800 thread sheets to make it feel nice.
B8.9	Steven just stands at the doorframe eating his lean cuisine from the box.
B8.10	Blood rushes to Margaret's head.
B8.11	And then she says it all in one breath:  "I-want-to-go-back-to-work."
B8.12	His eyes get strangely alarmed.
B8.13	"Did Sasha say anything about you having to go back to work?"  
B8.14	Margaret shakes her head.
B8.15	"It's just, without work, I feel old..." 
B8.16	Why does Steven seem so relieved?
B8.17	She finds herself getting angry
B8.18	"There's nothing funny about feeling old..."
B8.19	Steven puts down his lunch.
B8.20	"To me, you look more striking than ever," he says.
B8.21	Then he waits.
B8.22	And Margaret almost cries, because she knows that he means it...
A9.1	Gary is on the attack and she hates him.
A9.2	"We came to LA because of you Clara.
A9.3	You fucked up and I picked up the pieces.  You were running away..." 
A9.4	Clara's heart is pounding.
A9.5	"Don't drag that stuff in... We need income Gary!" 
A9.6	"So you work harder now.  Pull more weight.   Then I will." 
A9.7	"Fuck you!" The words are out now, spite flying... 
A9.8	"I am a staff-writer Gary.   I don't make the big bucks..."
A9.9	"Maybe you should use your talents for something more lucrative." 
A9.10	They face-off.
A9.11	Bitterness nesting.
A9.12	He leans close with mock kindness:  "Why don't you want to come back to NY? 
A9.13	Maybe you'll find a Wall-street man to marry. Or cheat with..."
A9.14	"I made one mistake in my life," she hisses... "and you won't let me forget!"
A9.15	Is this the one? 
A9.16	Is this the fight to undo them?
A9.17	"You want to go to NY, go ahead Gary," she says.
A9.18	"I'll keep growing up, you go ahead and act-out."
A9.19	He's already left the room as she yells:  "You ask your parents for money if you want to go to NY. 
A9.20	I'm not paying for any of that..." 
B9.1	"I don't want you to go back to Wall Street, Maggie," says Steven.
B9.2	"You need to do something you love.
B9.3	I want you to be brave."
B9.4	They're making Sasha's bed on the pull-out couch.
B9.5	New sheets, a festive Indian bedspread.
B9.6	"Enjoy your music, relax..." He pauses.
B9.7	"Lets revisit the child question if you want..."
B9.8	"You know that ship has sailed," Margaret says simply. 
B9.9	She takes out Alexander's card, her voice all business. 
B9.10	"There's an opportunity for Sasha.
B9.11	Alexander Sukurov, my old journalist friend, is back in New York." 
B9.12	"Did I ever meet Alexander?" 
B9.13	"I dated him once," she says without meeting his eye. 
B9.14	"He's looking for interns."
B9.15	Steven smiles.  "She'll love it."
B9.16	Margaret hands him Alexander's card.
B9.17	"Sasha won't call him if she thinks it's my lead. 
B9.18	Why don't you suggest it."
B9.19	Steven nods, pulls Margaret close:  "I will, then we'll get YOU a job that you love."
B9.20	Margaret looks at her husband of 8 years: "I really wish we'd had a child when we met," she says quietly.
B9.21	"I really wish we'd been brave..."
A10.1	Clara puts the birthday card in an envelope and walks out, into the night.
A10.2	What if she kept walking and just ran away? 
A10.3	The mailbox door creaks and the cool air feels good... 
A10.4	Back at the house, Gary's upstairs.  
A10.5	 Left the lights on, their bottles of wine; his and hers.  
A10.6	His is done, hers almost.
A10.7	Clara returns to the kitchen, mindless tidying...
A10.8	Until she finds their joint AMEX card.
A10.9	Messy torn envelope.
A10.10	Among messy papers.
A10.11	The charges are for photographic equipment.
A10.12	And new luggage and a ticket, only one ticket, one way to New York, expensive clothes, and a fancy hotel in Tribeca.
A10.13	It's the price tag that gets her...
A10.14	He sits up in bed all defenses. 
A10.15	"You've got to spend money to make money."
A10.16	"But you're not making any money"
A10.17	"I'll pay for it. 
A10.18	Like you said, I'll ask my parents."
A10.19	"What a mess you've made..." 
A10.20	"Stop talking.  Just stop talking Clara!"
A10.21	She stares at the number.
A10.22	36,000 dollars in the last two months. 
A10.23	She feels she can't breathe.
A10.24	This is half her salary
B10.1	Alexander's third martini arrives with dessert. 
B10.2	He hands Sasha the olives.
B10.3	She shakes her head, no.
B10.4	He acts disappointed.
B10.5	"I thought you like risks..."
B10.6	She likes this man. He's fun.
B10.7	"So when do I start?"
B10.8	"It's funny, how you look just like Margaret," he suddenly says.
B10.9	Sasha licks the chocolate off her spoon.
B10.10	"We all look alike: My mother, me, Margaret..." 
B10.11	Alexander waves for the check.
B10.12	"You look like her but you're nothing like her.
B10.13	You're not a girl who likes playing safe.
B10.14	Of course that can get you in trouble..."
B10.15	A shadow crosses her eyes.
B10.16	"Did my dad tell you why I took a year off? 
B10.17	I got addicted -- to prescription pills."
B10.18	She holds onto the candle between them. 
B10.19	"I'm glad you told me," says Alexander. 
B10.20	"I don't believe in lies."
B10.21	"You tell me a truth, then."
B10.22	Her voice takes Alexander by surprise. 
B10.23	"I'd like to show you my apartment," he says.
B10.24	Sasha reaches for his martini glass. 
B10.25	"I'll be 21 next month and no one is looking."
A11.1	36,000 dollars.
A11.2	Clara is scared, she hates Gary and in a flash she wishes him dead.
A11.3	She walks to the living room.
A11.4	She should sleep on the couch.
A11.5	Once, in New York, when Gary lost their money in the stock market he slept in the closet. 
A11.6	She turns on a light.  Terrified of being alone.
A11.7	Defeated, tormented, pacing, then hating herself more than him, she crawls back to their room and their bed.
A11.8	Desperate to recapture his smell.
A11.9	She spoons him, her face in his neck.
A11.10	"Gary, Please!" And then his cell rings...  
A11.11	When people hear someone has died they cover their mouths, as if to protect their own breath.
A11.12	Gary does that. 
A11.13	"Oh my God!" And that's how she knows.
A11.14	"It's Jeannie and Tommy's baby," he says.  
A11.15	"They found him.  In his crib.  He's gone."
A11.16	Gary reaches and holds her. 
A11.17	Clara leans on his chest.
A11.18	Gary holds Clara's hand and will not let it go. 
A11.19	"I'm so glad you're here," he whispers.
A11.20	Their palms are sweaty.
A11.21	That's how they find comfort.  Together. 
B11.1	In Alexander's apartment, the bathroom door is all glass. 
B11.2	Frosted glass...
B11.3	Sasha's self-conscious as she locks it behind her. 
B11.4	The bathroom: White granite. 
B11.5	Hasn't been cleaned for a while.
B11.6	She puts in her diaphragm.
B11.7	Alexander's shadow stops outside the door.
B11.8	"Red or White?"
B11.9	She tries to think of something sassy, but says "Red, thanks."
B11.10	Then adds: "My own glass."
B11.11	The sex is violent, harsh. 
B11.12	"Getting too old for this," he sucks in his breath. 
B11.13	In the darkness he whispers, "You've got this strange power. 
B11.14	You make me do things... Admit things.
B11.15	Maybe you know."
B11.16	She shrugs in the dark.
B11.17	"You don't know? Margaret and I, we were lovers."
B11.18	"Who ended it?" 
B11.19	"She did," he says.
B11.20	"She was about to marry your dad.  I was jealous."
B11.21	The richness of silence...
B11.22	She moves on him slow, as if doing nothing. 
B11.23	Until he can't help but moan.
B11.24	Not thinking, just moving... Relentless.   Triumphant. 
A12.1	Gary chooses a gorgeous funeral wreath.
A12.2	All orchids, all elegance.
A12.3	Clara doesn't ask about price, nodding yes, of course.
A12.4	The best for their friends.  
A12.5	How does a baby die?
A12.6	When you're not looking, babies die.
A12.7	At church, the congregation is numb.
A12.8	Grad students, pulled from their studios, rub swollen eyes.
A12.9	There's no one to blame in a crib death. 
A12.10	The service is short. 
A12.11	Clara keeps looking at Jeannie, so frail she could break, her family holds her.  
A12.12	Tommy doesn't.
A12.13	Gary holds onto Tommy, leads the pack of bereaved friends to a bar. 
A12.14	He's arranged for them to take over the back.
A12.15	Clara looks at him -- proud: in this alternate universe, her husband's a leader,  getting things done.
A12.16	Gary's hand on her arm... Her pride rising, and then he puts everyone's drinks on their card.
A12.17	She looks at him but everyone's looking too, so she smiles. 
A12.18	He keeps hugging his friends, waving at grief like a column of smoke.
A12.19	No one knows what to say, so everyone drinks.
A12.20	Clara has lost track of time.
A12.21	Her phone rings.
A12.22	A call from her mom.  She ignores it. 
B12.1	The pull-out couch covered with the Indian bedspread is empty.
B12.2	It's 2 am, then 3, then 3:30... 
B12.3	Margaret keeps sight-reading Bach's 2nd violin concerto. 
B12.4	Steven walks out of their bedroom.
B12.5	"Do you know where she is?  I can't sleep..."
B12.6	He looks so distraught. 
B12.7	 "I always miss the signs," says Steven.  
B12.8	"I don't listen until it's too late.  And then something horrible happens."
B12.9	Margaret closes her score.  "I'll wait up for her."
B12.10	"But I always turn Sasha over to you, to her mom, to a nanny."
B12.11	"She's almost 21," Margaret says quietly,   "The hard job is done."
B12.12	Steven holds onto her. 
B12.13	"It's not just the boyfriend, that has her messed up... She saw my bank statement."
B12.14	Margaret's blood leaves her body.
B12.15	"Are we broke?" 
B12.16	"We're not doing great."
B12.17	She waits for him to continue, but he doesn't.
B12.18	"I need one of your sleeping pills, " he says. 
B12.19	Margaret reaches for his hand.
B12.20	"Money comes, money goes," she says. 
B12.21	"We're both young.  We can work." 
B12.22	He looks at her. 
B12.23	He doesn't feel young, but he's grateful. 
A13.1	The bar is half dark, stinks of grief, sweat and wine.
A13.2	"Gary deserves so much better than you!"  Tommy's yelling at Clara.
A13.3	Why is Tommy yelling at her?
A13.4	"You look through his mail and you nag and you make him feel small..."
A13.5	Tommy's drunk and so angry his spit lands on Clara's black dress. 
A13.6	"What do you want from me Tommy?"
A13.7	He's up in her face, "What do I want?!"
A13.8	She pushes him back with all of her strength.
A13.9	Tommy falls on the chairs.  And everyone screams.  
A13.10	"I want my child back!  That's what I want..." 
A13.11	The crowd gathers around him. 
A13.12	Clara finds Gary at the other end of the bar.
A13.13	She's shaking.
A13.14	He hasn't noticed a thing.
A13.15	Jeannie has. 
A13.16	"Please forgive him, Clara..."
A13.17	"I'm so sorry," says Clara.
A13.18	"You can't save the ones that you love," Jeannie says and she leaves.
A13.19	Gary drives them home, taking the turn off the highway so sharp, she thinks he'll kill them.  
A13.20	He's drunk, his eyes are half closed. 
A13.21	After the car screeches back in control, Gary says just one line: "Do you think they'll make it?" 
B13.1	At 3:30 am Sasha wakes up feeling pain.
B13.2	Jolted.  Forced.
B13.3	Alexander pushes her down, he wants flesh.
B13.4	When she lets him he hisses. "You are into danger...Maggie's right."
B13.5	What the fuck?
B13.6	She pushes him off her.
B13.7	Her fury, overpowers his mass.
B13.8	"You gossiped about me?"
B13.9	In the glare of the lights he looks flabby, unkempt.
B13.10	"You take all your ex-lover's daughters to bed?"
B13.11	"Margaret isn't your mother, don't get all hysterical..." 
B13.12	He pulls a towel around him.
B13.13	"You should go, I'm not feeling well." 
B13.14	He walks to the bathroom and locks it.
B13.15	"You can't stay in there forever," she yells. 
B13.16	Her heart beats so fast. 
B13.17	She throws on her clothes, pounds on the door.
B13.18	No response – then a thump. 
B13.19	Through the frosted glass door, his shadow lies still, on the floor.
B13.20	Sasha smashes the glass with all of her weight. 
B13.21	So much force, so much glass, Alexander's spread out. 
B13.22	Oh my god, oh my god...
B13.23	Her mouth on his mouth. 
B13.24	CPR as she turns on her phone – 911. 
B13.25	Her wrist has been cut on the glass. 
B13.26	It's her blood on the granite. 
A14.1	"I think I'm going to cancel the trip to New York," says Gary.
A14.2	"I'll turn down the internship, it's not such a big deal. 
A14.3	I'll stay here."
A14.4	Gary opens the fridge.
A14.5	"These leftovers look amazing.
A14.6	When did you make this chili?"
A14.7	"It's a week old.
A14.8	We had the party a week ago," she says.
A14.9	A left over piece of blue crepe paper dangles from the adobe kitchen frame. 
A14.10	Backlit by the fridge it catches Clara's eye.
A14.11	She looks at this man she has loved for ten years.
A14.12	"You've bought your ticket," she says quietly.
A14.13	"You've booked the hotel, you bought your supplies. 
A14.14	You've burdened our life by 36,000 thousand.
A14.15	You never discussed it.
A14.16	I believe this means New York is calling you Gary.
A14.17	I believe you should go."
A14.18	She's exhausted.
A14.19	She looks at Gary and he looks far away.
A14.20	He looks smaller.
A14.21	A stranger.
A14.22	You can't save the people you love.
A14.23	She feels cold.  She's so cold. 
A14.24	She compulsively scrolls through her phone up to her mother's text:
A14.25	"Mr. Zimmler's expecting your call."  And a number.
A14.26	She saves it. 
B14.1	The emergency vehicles...the call to Margaret...it is all a blur. 
B14.2	When Margaret enters the ER, Sasha's never felt such relief. 
B14.3	She's shocked to see how scared her stepmother looks...
B14.4	Her own cut wrist is bandaged. That's what Margaret notices. 
B14.5	"I'm ok," says Sasha. "It's just him..."
B14.6	She's terrified of Margaret's anger but her step-mother just holds her.
B14.7	Someone says: "He wouldn't have made it without instant care...He is one lucky man..."
B14.8	"I want to stay until I know he's ok," whispers Sasha and Margaret squeezes her hand...
B14.9	It's morning when they exit the hospital...
B14.10	Sasha holds onto Margaret just like when she was little...
B14.11	They're shaking.
